Gene stable ID	Gene stable ID version	Gene description	Gene name
ENSG00000201869	ENSG00000201869.1	RNA, U6 small nuclear 294, pseudogene [Source:HGNC Symbol;Acc:HGNC:47257]	RNU6-294P
ENSG00000207352	ENSG00000207352.1	RNA, U6 small nuclear 540, pseudogene [Source:HGNC Symbol;Acc:HGNC:47503]	RNU6-540P
ENSG00000212215	ENSG00000212215.1	RNA, U6 small nuclear 913, pseudogene [Source:HGNC Symbol;Acc:HGNC:47876]	RNU6-913P
ENSG00000264099	ENSG00000264099.1	microRNA 4803 [Source:HGNC Symbol;Acc:HGNC:41568]	MIR4803
ENSG00000238913	ENSG00000238913.1	RNA, U7 small nuclear 196 pseudogene [Source:HGNC Symbol;Acc:HGNC:45730]	RNU7-196P
ENSG00000244326	ENSG00000244326.3	RNA, 7SL, cytoplasmic 814, pseudogene [Source:HGNC Symbol;Acc:HGNC:46830]	RN7SL814P
ENSG00000251828	ENSG00000251828.1		
ENSG00000202601	ENSG00000202601.4	microRNA 582 [Source:HGNC Symbol;Acc:HGNC:32838]	MIR582
ENSG00000202017	ENSG00000202017.1	RNA, U6 small nuclear 806, pseudogene [Source:HGNC Symbol;Acc:HGNC:47769]	RNU6-806P
ENSG00000207391	ENSG00000207391.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000273701	ENSG00000273701.1		
ENSG00000275634	ENSG00000275634.1		
ENSG00000276233	ENSG00000276233.1		
ENSG00000179632	ENSG00000179632.10	MAF1 homolog, negative regulator of RNA polymerase III [Source:HGNC Symbol;Acc:HGNC:24966]	MAF1
ENSG00000202157	ENSG00000202157.1	RNA, U4 small nuclear 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:46947]	RNU4-11P
ENSG00000265684	ENSG00000265684.2	RNA, 7SL, cytoplasmic 378, pseudogene [Source:HGNC Symbol;Acc:HGNC:46394]	RN7SL378P
ENSG00000253073	ENSG00000253073.1	RN7SK pseudogene 295 [Source:HGNC Symbol;Acc:HGNC:46019]	RN7SKP295
ENSG00000206744	ENSG00000206744.1	RNA, U6 small nuclear 620, pseudogene [Source:HGNC Symbol;Acc:HGNC:47583]	RNU6-620P
ENSG00000238835	ENSG00000238835.1	small Cajal body-specific RNA 18 [Source:HGNC Symbol;Acc:HGNC:32559]	SCARNA18
ENSG00000264342	ENSG00000264342.3	microRNA 3660 [Source:HGNC Symbol;Acc:HGNC:38985]	MIR3660
ENSG00000251951	ENSG00000251951.1	RN7SK pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:45758]	RN7SKP34
ENSG00000265919	ENSG00000265919.1	microRNA 4280 [Source:HGNC Symbol;Acc:HGNC:38334]	MIR4280
ENSG00000241243	ENSG00000241243.3	RNA, 7SL, cytoplasmic 629, pseudogene [Source:HGNC Symbol;Acc:HGNC:46645]	RN7SL629P
ENSG00000207452	ENSG00000207452.1	RNA, U6 small nuclear 606, pseudogene [Source:HGNC Symbol;Acc:HGNC:47569]	RNU6-606P
ENSG00000200462	ENSG00000200462.1	RNA, U6 small nuclear 727, pseudogene [Source:HGNC Symbol;Acc:HGNC:47690]	RNU6-727P
ENSG00000252861	ENSG00000252861.1	RNA, U6 small nuclear 448, pseudogene [Source:HGNC Symbol;Acc:HGNC:47411]	RNU6-448P
ENSG00000207013	ENSG00000207013.1	RNA, U6 small nuclear 804, pseudogene [Source:HGNC Symbol;Acc:HGNC:47767]	RNU6-804P
ENSG00000201955	ENSG00000201955.1	RNY3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:42477]	RNY3P1
ENSG00000283359	ENSG00000283359.1	microRNA 3977 [Source:HGNC Symbol;Acc:HGNC:41721]	MIR3977
ENSG00000206592	ENSG00000206592.1		
ENSG00000206698	ENSG00000206698.1	RNA, U1 small nuclear 73, pseudogene [Source:HGNC Symbol;Acc:HGNC:48415]	RNU1-73P
ENSG00000251954	ENSG00000251954.1	RNA, U6 small nuclear 496, pseudogene [Source:HGNC Symbol;Acc:HGNC:47459]	RNU6-496P
ENSG00000206774	ENSG00000206774.1	RNA, U6 small nuclear 211, pseudogene [Source:HGNC Symbol;Acc:HGNC:47174]	RNU6-211P
ENSG00000223904	ENSG00000223904.2	high mobility group box 1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:13317]	HMGB1P12
ENSG00000284078	ENSG00000284078.1	small nucleolar RNA, C/D box 138 [Source:HGNC Symbol;Acc:HGNC:50420]	SNORD138
ENSG00000277818	ENSG00000277818.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000207129	ENSG00000207129.1	RNA, 5S ribosomal pseudogene 187 [Source:HGNC Symbol;Acc:HGNC:43087]	RNA5SP187
ENSG00000206958	ENSG00000206958.1	Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156]	SNORA70
ENSG00000200884	ENSG00000200884.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000276426	ENSG00000276426.1		
ENSG00000277506	ENSG00000277506.1	RNA, 7SL, cytoplasmic 802, pseudogene [Source:HGNC Symbol;Acc:HGNC:46818]	RN7SL802P
ENSG00000229939	ENSG00000229939.1	novel pseudogene (PRO1843)	
ENSG00000221263	ENSG00000221263.1	microRNA 548p [Source:HGNC Symbol;Acc:HGNC:35351]	MIR548P
ENSG00000207077	ENSG00000207077.1	RNA, U6 small nuclear 1119, pseudogene [Source:HGNC Symbol;Acc:HGNC:48082]	RNU6-1119P
ENSG00000225031	ENSG00000225031.1	eukaryotic translation initiation factor 4B pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:37940]	EIF4BP7
ENSG00000232540	ENSG00000232540.1	ribosomal protein L36 pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:42648]	RPL36P19
ENSG00000238189	ENSG00000238189.2	ENOX1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:42397]	ENOX1-AS2
ENSG00000102359	ENSG00000102359.9	sushi repeat containing protein X-linked 2 [Source:HGNC Symbol;Acc:HGNC:30668]	SRPX2
ENSG00000277001	ENSG00000277001.1	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	Metazoa_SRP
ENSG00000233821	ENSG00000233821.1	ENOX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42396]	ENOX1-AS1
ENSG00000207269	ENSG00000207269.1	RN7SK pseudogene 62 [Source:HGNC Symbol;Acc:HGNC:45786]	RN7SKP62
ENSG00000287842	ENSG00000287842.1	novel transcript, sense intronic to ENOX1	
ENSG00000287029	ENSG00000287029.1	novel transcript, antisense to ENOX1	
ENSG00000270522	ENSG00000270522.1	novel transcript	
ENSG00000199378	ENSG00000199378.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000151773	ENSG00000151773.13	coiled-coil domain containing 122 [Source:HGNC Symbol;Acc:HGNC:26478]	CCDC122
ENSG00000222987	ENSG00000222987.1	RN7SK pseudogene 68 [Source:HGNC Symbol;Acc:HGNC:45792]	RN7SKP68
ENSG00000199643	ENSG00000199643.1	RNA, U4 small nuclear 90, pseudogene [Source:HGNC Symbol;Acc:HGNC:47026]	RNU4-90P
ENSG00000207404	ENSG00000207404.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000207578	ENSG00000207578.1	microRNA 583 [Source:HGNC Symbol;Acc:HGNC:32839]	MIR583
ENSG00000206997	ENSG00000206997.1	RNA, U6 small nuclear 524, pseudogene [Source:HGNC Symbol;Acc:HGNC:47487]	RNU6-524P
ENSG00000206593	ENSG00000206593.1	RNA, U6 small nuclear 47, pseudogene [Source:HGNC Symbol;Acc:HGNC:34291]	RNU6-47P
ENSG00000202512	ENSG00000202512.1	RN7SK pseudogene 230 [Source:HGNC Symbol;Acc:HGNC:45954]	RN7SKP230
ENSG00000253057	ENSG00000253057.1	RN7SK pseudogene 57 [Source:HGNC Symbol;Acc:HGNC:45781]	RN7SKP57
ENSG00000212370	ENSG00000212370.1	RNA, U6 small nuclear 482, pseudogene [Source:HGNC Symbol;Acc:HGNC:47445]	RNU6-482P
ENSG00000199786	ENSG00000199786.1	RNA, 5S ribosomal pseudogene 188 [Source:HGNC Symbol;Acc:HGNC:43088]	RNA5SP188
ENSG00000201910	ENSG00000201910.1	RNA, U1 small nuclear 140, pseudogene [Source:HGNC Symbol;Acc:HGNC:48482]	RNU1-140P
ENSG00000239808	ENSG00000239808.3	RNA, 7SL, cytoplasmic 255, pseudogene [Source:HGNC Symbol;Acc:HGNC:46271]	RN7SL255P
ENSG00000252881	ENSG00000252881.1	RNA, U6 small nuclear 334, pseudogene [Source:HGNC Symbol;Acc:HGNC:47297]	RNU6-334P
ENSG00000212457	ENSG00000212457.1	RNA, U6 small nuclear 644, pseudogene [Source:HGNC Symbol;Acc:HGNC:47607]	RNU6-644P
ENSG00000222598	ENSG00000222598.1	RNA, U2 small nuclear 49, pseudogene [Source:HGNC Symbol;Acc:HGNC:48542]	RNU2-49P
ENSG00000283498	ENSG00000283498.1	microRNA 1244-2 [Source:HGNC Symbol;Acc:HGNC:38321]	MIR1244-2
ENSG00000276047	ENSG00000276047.1	RNA, 7SL, cytoplasmic 711, pseudogene [Source:HGNC Symbol;Acc:HGNC:46727]	RN7SL711P
ENSG00000243333	ENSG00000243333.3	RNA, 7SL, cytoplasmic 174, pseudogene [Source:HGNC Symbol;Acc:HGNC:46190]	RN7SL174P
ENSG00000221436	ENSG00000221436.1	microRNA 548f-3 [Source:HGNC Symbol;Acc:HGNC:35307]	MIR548F3
ENSG00000238363	ENSG00000238363.1	small nucleolar RNA, H/ACA box 13 [Source:HGNC Symbol;Acc:HGNC:32601]	SNORA13
ENSG00000252185	ENSG00000252185.1	RNA, U6 small nuclear 752, pseudogene [Source:HGNC Symbol;Acc:HGNC:47715]	RNU6-752P
ENSG00000207177	ENSG00000207177.1		
ENSG00000223179	ENSG00000223179.3	RNA, U6 small nuclear 373, pseudogene [Source:HGNC Symbol;Acc:HGNC:47336]	RNU6-373P
ENSG00000206786	ENSG00000206786.1	RNA, U6 small nuclear 701, pseudogene [Source:HGNC Symbol;Acc:HGNC:47664]	RNU6-701P
ENSG00000264536	ENSG00000264536.1	microRNA 5706 [Source:HGNC Symbol;Acc:HGNC:43500]	MIR5706
ENSG00000222107	ENSG00000222107.1	RN7SK pseudogene 117 [Source:HGNC Symbol;Acc:HGNC:45841]	RN7SKP117
ENSG00000252514	ENSG00000252514.1	RNA, U7 small nuclear 53 pseudogene [Source:HGNC Symbol;Acc:HGNC:34149]	RNU7-53P
ENSG00000251975	ENSG00000251975.1	RNA, U6 small nuclear 718, pseudogene [Source:HGNC Symbol;Acc:HGNC:47681]	RNU6-718P
ENSG00000201790	ENSG00000201790.1	RNA, 5S ribosomal pseudogene 189 [Source:HGNC Symbol;Acc:HGNC:43089]	RNA5SP189
ENSG00000265691	ENSG00000265691.1	microRNA 4460 [Source:HGNC Symbol;Acc:HGNC:41795]	MIR4460
ENSG00000263432	ENSG00000263432.2	RNA, 7SL, cytoplasmic 689, pseudogene [Source:HGNC Symbol;Acc:HGNC:46705]	RN7SL689P
ENSG00000274001	ENSG00000274001.1	novel transcript, sense intronic to CCDC122	
ENSG00000202082	ENSG00000202082.2	RNA, U6 small nuclear 290, pseudogene [Source:HGNC Symbol;Acc:HGNC:47253]	RNU6-290P
ENSG00000179630	ENSG00000179630.11	laccase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26789]	LACC1
ENSG00000222609	ENSG00000222609.1	RNA, U4 small nuclear 69, pseudogene [Source:HGNC Symbol;Acc:HGNC:47005]	RNU4-69P
ENSG00000221562	ENSG00000221562.1	RNA, U6atac small nuclear 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:46909]	RNU6ATAC10P
ENSG00000199455	ENSG00000199455.1	RNA, 5S ribosomal pseudogene 191 [Source:HGNC Symbol;Acc:HGNC:43091]	RNA5SP191
ENSG00000275939	ENSG00000275939.1		
ENSG00000252337	ENSG00000252337.1		
ENSG00000222285	ENSG00000222285.1	RNA, 5S ribosomal pseudogene 193 [Source:HGNC Symbol;Acc:HGNC:43093]	RNA5SP193
ENSG00000277859	ENSG00000277859.1		
ENSG00000278815	ENSG00000278815.1	Vault RNA [Source:RFAM;Acc:RF00006]	Vault
ENSG00000274934	ENSG00000274934.1		
ENSG00000275646	ENSG00000275646.1		
ENSG00000277524	ENSG00000277524.1		
ENSG00000199677	ENSG00000199677.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000221287	ENSG00000221287.1	microRNA 1289-2 [Source:HGNC Symbol;Acc:HGNC:35282]	MIR1289-2
ENSG00000200756	ENSG00000200756.1	RNA, U6 small nuclear 236, pseudogene [Source:HGNC Symbol;Acc:HGNC:47199]	RNU6-236P
ENSG00000216009	ENSG00000216009.3	microRNA 874 [Source:HGNC Symbol;Acc:HGNC:33643]	MIR874
ENSG00000238904	ENSG00000238904.1	RNA, U7 small nuclear 34 pseudogene [Source:HGNC Symbol;Acc:HGNC:34130]	RNU7-34P
ENSG00000266478	ENSG00000266478.1	microRNA 5197 [Source:HGNC Symbol;Acc:HGNC:43450]	MIR5197
ENSG00000239390	ENSG00000239390.3	RNA, 7SL, cytoplasmic 87, pseudogene [Source:HGNC Symbol;Acc:HGNC:46103]	RN7SL87P
ENSG00000201423	ENSG00000201423.1	RN7SK pseudogene 246 [Source:HGNC Symbol;Acc:HGNC:45970]	RN7SKP246
ENSG00000243903	ENSG00000243903.1	novel transcript	
ENSG00000253023	ENSG00000253023.1	RNA, U7 small nuclear 156 pseudogene [Source:HGNC Symbol;Acc:HGNC:45690]	RNU7-156P
ENSG00000238374	ENSG00000238374.1	RNA, U7 small nuclear 180 pseudogene [Source:HGNC Symbol;Acc:HGNC:45714]	RNU7-180P
ENSG00000276365	ENSG00000276365.1	microRNA 145 [Source:HGNC Symbol;Acc:HGNC:31532]	MIR145
ENSG00000284182	ENSG00000284182.1	microRNA 143 [Source:HGNC Symbol;Acc:HGNC:31530]	MIR143
ENSG00000221043	ENSG00000221043.2	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	U3
ENSG00000176095	ENSG00000176095.12	inositol hexakisphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18360]	IP6K1
ENSG00000277968	ENSG00000277968.1		
ENSG00000274721	ENSG00000274721.1		
ENSG00000262074	ENSG00000262074.7	small nucleolar RNA, C/D box 3B-2 [Source:HGNC Symbol;Acc:HGNC:33190]	SNORD3B-2
ENSG00000222213	ENSG00000222213.1	RNA, U6 small nuclear 588, pseudogene [Source:HGNC Symbol;Acc:HGNC:47551]	RNU6-588P
ENSG00000257477	ENSG00000257477.1	long intergenic non-protein coding RNA 1154 [Source:HGNC Symbol;Acc:HGNC:49504]	LINC01154
ENSG00000252068	ENSG00000252068.1	RNA, U6 small nuclear 390, pseudogene [Source:HGNC Symbol;Acc:HGNC:47353]	RNU6-390P
ENSG00000241963	ENSG00000241963.3	RNA, 7SL, cytoplasmic 655, pseudogene [Source:HGNC Symbol;Acc:HGNC:46671]	RN7SL655P
ENSG00000126353	ENSG00000126353.3	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	CCR7
ENSG00000199047	ENSG00000199047.3	microRNA 378a [Source:HGNC Symbol;Acc:HGNC:31871]	MIR378A
ENSG00000265237	ENSG00000265237.1	microRNA 3142 [Source:HGNC Symbol;Acc:HGNC:38297]	MIR3142
ENSG00000283733	ENSG00000283733.1	microRNA 146a [Source:HGNC Symbol;Acc:HGNC:31533]	MIR146A
ENSG00000175782	ENSG00000175782.11	solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864]	SLC35E3
ENSG00000201532	ENSG00000201532.1	RNA, 5S ribosomal pseudogene 194 [Source:HGNC Symbol;Acc:HGNC:43094]	RNA5SP194
ENSG00000201474	ENSG00000201474.1	RNA, U6 small nuclear 164, pseudogene [Source:HGNC Symbol;Acc:HGNC:47127]	RNU6-164P
ENSG00000280060	ENSG00000280060.1	TEC	
ENSG00000286196	ENSG00000286196.1	Novel transcript, antisense to SH2D3C	
ENSG00000206819	ENSG00000206819.1	RNA, U6 small nuclear 260, pseudogene [Source:HGNC Symbol;Acc:HGNC:47223]	RNU6-260P
ENSG00000242928	ENSG00000242928.3	RNA, 7SL, cytoplasmic 868, pseudogene [Source:HGNC Symbol;Acc:HGNC:46884]	RN7SL868P
ENSG00000136807	ENSG00000136807.14	cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]	CDK9
ENSG00000221430	ENSG00000221430.1	microRNA 1294 [Source:HGNC Symbol;Acc:HGNC:35287]	MIR1294
ENSG00000202417	ENSG00000202417.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000179611	ENSG00000179611.3	diacylglycerol kinase zeta pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39263]	DGKZP1
ENSG00000244501	ENSG00000244501.3	RNA, 7SL, cytoplasmic 623, pseudogene [Source:HGNC Symbol;Acc:HGNC:46639]	RN7SL623P
ENSG00000277942	ENSG00000277942.1	microRNA 8075 [Source:HGNC Symbol;Acc:HGNC:50172]	MIR8075
ENSG00000232662	ENSG00000232662.2	lactate dehydrogenase B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:6542]	LDHBP1
ENSG00000252794	ENSG00000252794.1	RN7SK pseudogene 60 [Source:HGNC Symbol;Acc:HGNC:45784]	RN7SKP60
ENSG00000185896	ENSG00000185896.11	lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]	LAMP1
ENSG00000199035	ENSG00000199035.2	microRNA 103a-1 [Source:HGNC Symbol;Acc:HGNC:31490]	MIR103A1
ENSG00000283612	ENSG00000283612.1	microRNA 103b-1 [Source:HGNC Symbol;Acc:HGNC:35384]	MIR103B1
ENSG00000212529	ENSG00000212529.1		
ENSG00000222626	ENSG00000222626.1	RNA, U2 small nuclear 48, pseudogene [Source:HGNC Symbol;Acc:HGNC:48541]	RNU2-48P
ENSG00000199219	ENSG00000199219.1	RNA, U6 small nuclear 500, pseudogene [Source:HGNC Symbol;Acc:HGNC:47463]	RNU6-500P
ENSG00000207739	ENSG00000207739.1	microRNA 218-2 [Source:HGNC Symbol;Acc:HGNC:31596]	MIR218-2
ENSG00000202345	ENSG00000202345.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000207619	ENSG00000207619.1	microRNA 585 [Source:HGNC Symbol;Acc:HGNC:32841]	MIR585
ENSG00000252169	ENSG00000252169.1	RNA, 5S ribosomal pseudogene 200 [Source:HGNC Symbol;Acc:HGNC:43100]	RNA5SP200
ENSG00000266890	ENSG00000266890.1	microRNA 4634 [Source:HGNC Symbol;Acc:HGNC:41559]	MIR4634
ENSG00000201277	ENSG00000201277.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000206845	ENSG00000206845.1	RNA, U6 small nuclear 209, pseudogene [Source:HGNC Symbol;Acc:HGNC:47172]	RNU6-209P
ENSG00000274994	ENSG00000274994.1	microRNA 8056 [Source:HGNC Symbol;Acc:HGNC:49948]	MIR8056
ENSG00000181649	ENSG00000181649.8	pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]	PHLDA2
ENSG00000251998	ENSG00000251998.1	RNA, U6 small nuclear 168, pseudogene [Source:HGNC Symbol;Acc:HGNC:47131]	RNU6-168P
ENSG00000265160	ENSG00000265160.1	microRNA 5003 [Source:HGNC Symbol;Acc:HGNC:43512]	MIR5003
ENSG00000199892	ENSG00000199892.2	RNA, U1 small nuclear 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:41943]	RNU1-17P
ENSG00000207327	ENSG00000207327.1	RNA, U6 small nuclear 883, pseudogene [Source:HGNC Symbol;Acc:HGNC:47846]	RNU6-883P
ENSG00000275480	ENSG00000275480.1	coiled-coil domain containing 144 family, N-terminal like (CCDC144NL) pseudogene	
ENSG00000277912	ENSG00000277912.1	microRNA 8089 [Source:HGNC Symbol;Acc:HGNC:50196]	MIR8089
ENSG00000277426	ENSG00000277426.1	RAD52 motif 1 (RDM1) pseudogene	
ENSG00000200555	ENSG00000200555.1	RNA, U6 small nuclear 525, pseudogene [Source:HGNC Symbol;Acc:HGNC:47488]	RNU6-525P
ENSG00000237139	ENSG00000237139.1	ribosomal protein S26 pseudogene 41 [Source:HGNC Symbol;Acc:HGNC:36062]	RPS26P41
ENSG00000222852	ENSG00000222852.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000268584	ENSG00000268584.1	novel transcript, antisense to USP54	
ENSG00000198995	ENSG00000198995.3	microRNA 340 [Source:HGNC Symbol;Acc:HGNC:31777]	MIR340
ENSG00000206686	ENSG00000206686.1	RNA, U6 small nuclear 1036, pseudogene [Source:HGNC Symbol;Acc:HGNC:47999]	RNU6-1036P
ENSG00000265799	ENSG00000265799.1	novel transcript	
ENSG00000101892	ENSG00000101892.12	ATPase Na+/K+ transporting family member beta 4 [Source:HGNC Symbol;Acc:HGNC:808]	ATP1B4
ENSG00000221394	ENSG00000221394.1	microRNA 1229 [Source:HGNC Symbol;Acc:HGNC:33924]	MIR1229
ENSG00000222448	ENSG00000222448.1	RN7SK pseudogene 150 [Source:HGNC Symbol;Acc:HGNC:45874]	RN7SKP150
ENSG00000252202	ENSG00000252202.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000272791	ENSG00000272791.1	novel transcript	
ENSG00000264663	ENSG00000264663.1	keratin 8 pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:39868]	KRT8P34
ENSG00000131183	ENSG00000131183.11	solute carrier family 34 member 1 [Source:HGNC Symbol;Acc:HGNC:11019]	SLC34A1
ENSG00000179698	ENSG00000179698.14	WD repeat domain 97 [Source:HGNC Symbol;Acc:HGNC:26959]	WDR97
ENSG00000141744	ENSG00000141744.4	phenylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:9160]	PNMT
ENSG00000177791	ENSG00000177791.12	myozenin 1 [Source:HGNC Symbol;Acc:HGNC:13752]	MYOZ1
ENSG00000207008	ENSG00000207008.1	small nucleolar RNA, H/ACA box 54 [Source:HGNC Symbol;Acc:HGNC:32647]	SNORA54
ENSG00000183562	ENSG00000183562.3	novel transcript, antisense to NAP1L4	
ENSG00000243964	ENSG00000243964.1	ribosomal protein L23a pseudogene 65 [Source:HGNC Symbol;Acc:HGNC:36289]	RPL23AP65
ENSG00000255463	ENSG00000255463.1	chondroitin sulfate synthase 1 (CHSY1) pseudogene	
ENSG00000239470	ENSG00000239470.3	ribosomal protein L21 (RPL21) pseudogene	
ENSG00000271142	ENSG00000271142.1	YWHAQ pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:37686]	YWHAQP7
ENSG00000133789	ENSG00000133789.15	switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070]	SWAP70
ENSG00000166211	ENSG00000166211.8	Spi-C transcription factor [Source:HGNC Symbol;Acc:HGNC:29549]	SPIC
ENSG00000146963	ENSG00000146963.18	LUC7 like 2, pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:21608]	LUC7L2
ENSG00000198919	ENSG00000198919.13	DAZ interacting zinc finger protein 3 [Source:HGNC Symbol;Acc:HGNC:30938]	DZIP3
ENSG00000288616	ENSG00000288616.1	elongin A3 family member D, pseudogene [Source:HGNC Symbol;Acc:HGNC:33511]	ELOA3DP
ENSG00000275553	ENSG00000275553.4	elongin A3 family member C, pseudogene [Source:HGNC Symbol;Acc:HGNC:52410]	ELOA3CP
ENSG00000002834	ENSG00000002834.18	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	LASP1
ENSG00000139835	ENSG00000139835.14	growth hormone regulated TBC protein 1 [Source:HGNC Symbol;Acc:HGNC:20310]	GRTP1
ENSG00000288607	ENSG00000288607.1	elongin A3 family member B, pseudogene [Source:HGNC Symbol;Acc:HGNC:31007]	ELOA3BP
ENSG00000288631	ENSG00000288631.1	elongin A3, pseudogene [Source:HGNC Symbol;Acc:HGNC:24617]	ELOA3P
ENSG00000166396	ENSG00000166396.13	serpin family B member 7 [Source:HGNC Symbol;Acc:HGNC:13902]	SERPINB7
ENSG00000257837	ENSG00000257837.1	novel transcript	
ENSG00000271496	ENSG00000271496.1	small nuclear ribonucleoprotein polypeptide G pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:49376]	SNRPGP20
ENSG00000257194	ENSG00000257194.2	novel transcript	
ENSG00000258048	ENSG00000258048.1	PPP1R12A antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:55456]	PPP1R12A-AS2
ENSG00000258162	ENSG00000258162.4	novel transcript, antisense to PPFIA2	
ENSG00000166317	ENSG00000166317.12	synaptopodin 2 like [Source:HGNC Symbol;Acc:HGNC:23532]	SYNPO2L
ENSG00000258336	ENSG00000258336.2	double homeobox 4 like 52 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:51811]	DUX4L52
ENSG00000257434	ENSG00000257434.1	novel transcript, antisense to KCNC2	
ENSG00000271848	ENSG00000271848.2	SYNPO2L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55242]	SYNPO2L-AS1
ENSG00000283863	ENSG00000283863.1	microRNA 3960 [Source:HGNC Symbol;Acc:HGNC:41595]	MIR3960
ENSG00000284547	ENSG00000284547.1	microRNA 2861 [Source:HGNC Symbol;Acc:HGNC:38221]	MIR2861
ENSG00000185958	ENSG00000185958.10	family with sequence similarity 186 member A [Source:HGNC Symbol;Acc:HGNC:26980]	FAM186A
ENSG00000242288	ENSG00000242288.9	BMS1P4-AGAP5 readthrough [Source:HGNC Symbol;Acc:HGNC:55636]	BMS1P4-AGAP5
ENSG00000136877	ENSG00000136877.15	folylpolyglutamate synthase [Source:HGNC Symbol;Acc:HGNC:3824]	FPGS
ENSG00000172840	ENSG00000172840.7	pyruvate dehydrogenase phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:30263]	PDP2
ENSG00000271816	ENSG00000271816.1	BMS1 pseudogene 4 [Source:NCBI gene (formerly Entrezgene);Acc:729096]	BMS1P4
ENSG00000272140	ENSG00000272140.2	novel transcript	
ENSG00000276434	ENSG00000276434.1	novel transcript, sense intronic to GRTP1	
ENSG00000235173	ENSG00000235173.7	HGH1 homolog [Source:HGNC Symbol;Acc:HGNC:24161]	HGH1
ENSG00000225083	ENSG00000225083.2	GRTP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39917]	GRTP1-AS1
ENSG00000252072	ENSG00000252072.1	RNA, 5S ribosomal pseudogene 320 [Source:HGNC Symbol;Acc:HGNC:43220]	RNA5SP320
ENSG00000235316	ENSG00000235316.1	dual specificity phosphatase 8 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:45003]	DUSP8P5
ENSG00000270808	ENSG00000270808.1	ataxin 1-like (ATXN1L) pseudogene	
ENSG00000150401	ENSG00000150401.15	defective in cullin neddylation 1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20328]	DCUN1D2
ENSG00000213189	ENSG00000213189.5	basic transcription factor 3 like 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39646]	BTF3L4P2
ENSG00000228586	ENSG00000228586.1	novel transcript	
ENSG00000176986	ENSG00000176986.16	SEC24 homolog C, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10705]	SEC24C
ENSG00000234279	ENSG00000234279.2	long intergenic non-protein coding RNA 1937 [Source:HGNC Symbol;Acc:HGNC:52760]	LINC01937
ENSG00000251707	ENSG00000251707.2	RNA, U7 small nuclear 37 pseudogene [Source:HGNC Symbol;Acc:HGNC:34133]	RNU7-37P
