Gene stable ID	Gene stable ID version	Gene description	Gene name
ENSG00000234068	ENSG00000234068.7	PAGE family member 2 [Source:HGNC Symbol;Acc:HGNC:31804]	PAGE2
ENSG00000224860	ENSG00000224860.1	GXYLT1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39677]	GXYLT1P2
ENSG00000215562	ENSG00000215562.2	calponin 2 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:39532]	CNN2P7
ENSG00000224215	ENSG00000224215.1	C10orf67 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55861]	C10orf67-AS1
ENSG00000234538	ENSG00000234538.1	zinc finger protein 114 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23771]	ZNF114P1
ENSG00000290541	ENSG00000290541.1	cytochrome P450 family 4 subfamily F member 29, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:54055]	CYP4F29P
ENSG00000229209	ENSG00000229209.1	novel transcript	
ENSG00000230240	ENSG00000230240.1	ribosomal protein L34 pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:36925]	RPL34P19
ENSG00000232139	ENSG00000232139.6	long intergenic non-protein coding RNA 867 [Source:HGNC Symbol;Acc:HGNC:45265]	LINC00867
ENSG00000229779	ENSG00000229779.1	novel transcript	
ENSG00000230173	ENSG00000230173.1	long intergenic non-protein coding RNA 1790 [Source:HGNC Symbol;Acc:HGNC:52579]	LINC01790
ENSG00000179562	ENSG00000179562.3	GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]	GCC1
ENSG00000254877	ENSG00000254877.1	cAMP-dependent protein kinase type II-alpha regulatory subunit (PRKAR2A) pseudogene	
ENSG00000255189	ENSG00000255189.1	glycine-N-acyltransferase like 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37866]	GLYATL1P1
ENSG00000228314	ENSG00000228314.2	cytochrome P450 family 4 subfamily F member 29, pseudogene [Source:HGNC Symbol;Acc:HGNC:2647]	CYP4F29P
ENSG00000230965	ENSG00000230965.1	sorting nexin 18 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:39621]	SNX18P13
ENSG00000290581	ENSG00000290581.1	novel transcript	
ENSG00000287451	ENSG00000287451.1	novel transcript, antisense to DPP10	
ENSG00000254786	ENSG00000254786.1	Glycine N-acyltransferase-like protein 1 (GLYATL1) pseudogene	
ENSG00000175509	ENSG00000175509.8	ACR pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54745]	ACRP1
ENSG00000237035	ENSG00000237035.1	novel transcript	
ENSG00000274985	ENSG00000274985.1	patched domain containing 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44945]	PTCHD3P1
